0,HFO,HFO CCS,LNG,LNG CCS,BIO,BIO,BIO,BIO,BIO,BIO,BIO,BIO,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3,NH3,NH3,NH3,NH3,NH3,NH3,MEOH,MEOH,MEOH,MEOH,MEOH,MEOH,MEOH,SF,SF,SF,SF,SF,LI-ION,URA,LH2,LH2,LH2,BIOD,BIOD,HVO,MDO,MDO CCS,FERM,FERM,FERM
,1,1,1,1,1a,1b,1c,1d,1e,1f,1g,2a,1,2,3,4a,4b,4c,4d,1,2,3,4a,4b,4c,4d,1,2,3,4a,4b,4c,4d,1a,1b,1c,2,3,1,1,1,2,3,1a,1b,1a,1,1,1a,1b,1c
,110.8485468,194.1955501,169.6040201,252.9510234,25.85768443,25.12608,65.24593077,333.9629292,202.4017753,315.9825773,237.5902241,23.93103343,157.4356656,295.3050957,428.3224253,213.791156,214.2756163,265.1439483,456.0213085,163.995485,307.6094747,446.169193,222.6991208,223.203767,276.1916128,475.0221964,170.8675787,204.769876,486.8140812,46.83037342,50.13019703,88.82401908,236.0503957,334.0379798,294.4732808,340.7558995,347.2392951,720.0369338,437.4012765,924.6081098,227.5793417,298.5626158,476.0940301,243.3575507,188.3161738,271.516406,135.6410975,218.9881007,301.8660557,298.0237953,343.2268585
Hydro,787.7138964,396.470217,630.6018757,317.7562619,497.6167714,422.179552,422.179552,485.7642607,860.2075449,244.096541,623.8022714,1152.67811,858.3992299,438.4752835,75.58631035,-335.7493957,-437.6732044,-618.1801982,-683.5929911,894.1658645,456.745087,78.73573995,-349.7389539,-455.9095879,-643.9377065,-712.0760324,756.6992771,578.5088021,-120.8126561,37.09751882,-57.5018037,-215.345383,-161.711006,408.1016565,255.8160467,112.852053,408.9813613,76.38785871,305.9836438,12.32810813,852.7512659,282.3057862,41.83814712,208.8719743,546.0602353,94.53550381,762.5863113,383.8346314,305.8868682,159.5622926,-16.89916516
,95.72413372,265.6344711,69.39999695,239.3103343,0,0,0,0,0,0,0,0,1545.94476,1545.94476,6298.859196,1883.141041,1883.141041,1883.141041,1883.141041,1610.359125,1610.359125,6561.311662,1961.605251,1961.605251,1961.605251,1961.605251,0,0,7159.030605,90.40612629,135.6091894,113.0076579,67.80459472,1023.5303,1036.453058,1048.418575,179.4827507,6365.654892,1356.091894,0,579.7292848,726.1872094,3486.51226,773.9296211,773.9296211,23.92642966,83.758617,253.6689544,-180.8122526,-180.8122526,-180.8122526
,0,0,0,0,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,0,0,0,6530.810922,6435.135529,7156.314511,6536.476246,0,0,0,6802.928044,6703.266176,7454.494282,6808.829423,0,0,0,5867.357596,5749.829632,6468.558336,5869.617749,6340.527307,4566.280489,6363.501099,0,0,0,0,0,0,0,2615.11154,4500.685526,2483.684788,0,0,7334.196995,6468.558336,7187.28704
,36.37517081,100.941099,26.37199884,90.93792703,153.2307225,3198.32994,775.3527126,2976.496695,5326.362507,0,65.60676799,0,587.4590086,587.4590086,2393.566494,863.1825429,3751.034883,1533.925729,778.8396162,611.9364673,611.9364673,2493.298432,899.1484822,3907.328003,1597.839301,811.2912669,0,0,2720.43163,3492.388659,2379.489244,562.7781362,82.55933815,4393.321338,2555.303101,892.5748987,68.20344528,2418.948859,515.3149199,0,220.2971282,275.9511396,1324.874659,1623.940784,5215.270971,9.092043272,31.82827446,96.39420266,4202.980811,2507.865943,473.7281018
,111.4228916,195.7893569,170.0204201,254.3868854,25.85768443,25.12608,65.24593077,333.9629292,202.4017753,315.9825773,237.5902241,23.93103343,166.7113342,304.5807643,466.1155805,225.0900022,225.5744625,276.4427946,467.3201548,173.6576398,317.2716294,485.537063,234.4687523,234.9733985,287.9612443,486.7918279,170.8675787,204.769876,529.7682648,47.37281018,50.94385216,89.50206503,236.4572233,340.1791616,300.6919992,347.0464109,348.3161916,758.2308632,445.5378278,924.6081098,231.0577174,302.9197391,497.0131037,248.0011284,192.9597515,271.6599646,136.1436492,220.5101144,300.7811822,296.9389218,342.1419849
Nuclear,786.9481033,394.3451413,630.0466757,315.8417792,497.6167714,422.179552,422.179552,485.7642607,860.2075449,244.096541,623.8022714,1152.67811,846.0316718,426.1077254,25.19543678,-350.814524,-452.7383327,-633.2453265,-698.6581194,881.2829915,443.862214,26.24524665,-365.4317959,-471.6024299,-659.6305485,-727.7688744,756.6992771,578.5088021,-178.0849009,36.37426981,-58.58667722,-216.2494443,-162.2534427,399.9134141,247.5244222,104.4647044,407.5454993,25.46261957,295.1349086,12.32810813,848.1134317,276.4962885,13.94604904,202.6805373,539.8687983,94.34409238,761.9162423,381.8052798,307.3333662,161.0087906,-15.45266714
,95.72413372,265.6344711,69.39999695,239.3103343,0,0,0,0,0,0,0,0,1545.94476,1545.94476,6298.859196,1883.141041,1883.141041,1883.141041,1883.141041,1610.359125,1610.359125,6561.311662,1961.605251,1961.605251,1961.605251,1961.605251,0,0,7159.030605,90.40612629,135.6091894,113.0076579,67.80459472,1023.5303,1036.453058,1048.418575,179.4827507,6365.654892,1356.091894,0,579.7292848,726.1872094,3486.51226,773.9296211,773.9296211,23.92642966,83.758617,253.6689544,-180.8122526,-180.8122526,-180.8122526
,0,0,0,0,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,0,0,0,6530.810922,6435.135529,7156.314511,6536.476246,0,0,0,6802.928044,6703.266176,7454.494282,6808.829423,0,0,0,5867.357596,5749.829632,6468.558336,5869.617749,6340.527307,4566.280489,6363.501099,0,0,0,0,0,0,0,2615.11154,4500.685526,2483.684788,0,0,7334.196995,6468.558336,7187.28704
,0.047862067,0.132817236,0.034699998,0.119655167,153.2307225,3198.32994,775.3527126,2976.496695,5326.362507,0,65.60676799,0,0.77297238,0.77297238,3.149429598,148.5305179,3036.382858,819.2737044,64.18759129,0.805179562,0.805179562,3.280655831,154.7192895,3162.89881,853.4101088,66.86207426,0,0,3.579515303,3458.079534,2328.025557,519.89173,56.82749445,4004.891589,2161.969166,494.7000496,0.089741375,3.182827446,0.678045947,0,0.289864642,0.363093605,1.74325613,1330.234493,4921.564679,0.011963215,0.041879309,0.126834477,4271.599061,2576.484193,542.3463516
,120.8995809,222.0871695,176.8910198,278.0786085,25.85768443,25.12608,65.24593077,333.9629292,202.4017753,315.9825773,237.5902241,23.93103343,319.7598654,457.6292955,1089.702641,411.5209653,412.0054256,462.8737576,653.7511178,333.0831931,476.6971828,1135.106918,428.6676721,429.1723183,482.1601642,680.9907477,170.8675787,204.769876,1238.512295,56.32301668,64.36916192,100.6898232,243.1698782,441.5086613,403.3008519,450.8398498,366.0849839,1388.430698,579.7909254,924.6081098,288.4509166,374.8122728,842.1778174,324.6201609,269.578784,274.0286811,144.4357523,245.6233409,282.8807692,279.0385088,324.2415719
